id,title,company,location,city,skills,salary,type,experience,posted,description
j1,Data Analyst,Careem,Karachi · Hybrid,Karachi,"Python, SQL, Tableau, Excel, Power BI",₨ 180–240k,Full-time,1-3 years,2 days ago,Analyze trip and user behavior data to drive growth decisions at Pakistan's leading super-app. Build dashboards and present insights to senior leadership.
j2,Senior Data Analyst,Careem,Karachi · Hybrid,Karachi,"Python, SQL, dbt, Tableau, Statistics",₨ 280–380k,Full-time,4-6 years,1 week ago,Lead data analysis for rider and driver growth. Build predictive models and own the analytics roadmap for the Pakistan market.
j3,Frontend Engineer,Careem,Karachi · Remote,Karachi,"React, TypeScript, Next.js, Tailwind CSS, Git",₨ 200–300k,Full-time,2-4 years,3 days ago,Build and maintain high-performance React apps used by millions of Pakistani users. Collaborate with designers and backend engineers.
j4,Backend Engineer,Careem,Karachi · Hybrid,Karachi,"Node.js, PostgreSQL, AWS, Docker, Kubernetes",₨ 220–320k,Full-time,2-4 years,5 days ago,Scale backend services powering Careem's ride-hailing and food delivery verticals across Pakistan.
j5,DevOps Engineer,Careem,Karachi · On-site,Karachi,"AWS, Kubernetes, Terraform, CI/CD, Linux, Docker",₨ 250–350k,Full-time,3-5 years,1 week ago,Own deployment pipelines and infrastructure reliability for Careem PK. Drive zero-downtime deployments.
j6,Product Designer,Careem,Karachi · Hybrid,Karachi,"Figma, User Research, Prototyping, Adobe XD",₨ 180–260k,Full-time,2-4 years,4 days ago,Design intuitive experiences for the Careem super-app. Conduct user research and collaborate with PM and engineering.
j7,ML Engineer,Careem,Karachi · Hybrid,Karachi,"Python, TensorFlow, PyTorch, SQL, AWS",₨ 280–400k,Full-time,3-5 years,2 weeks ago,Build machine learning models for ETA prediction and driver matching at scale.
j8,iOS Developer,Careem,Karachi · Hybrid,Karachi,"Swift, Xcode, REST APIs, Git, Agile",₨ 200–300k,Full-time,2-4 years,1 week ago,Develop and maintain the Careem iOS app serving millions of Pakistani users.
j9,Android Developer,Careem,Karachi · Hybrid,Karachi,"Kotlin, Android SDK, REST APIs, Git, Firebase",₨ 200–300k,Full-time,2-4 years,1 week ago,Own features on the Careem Android app — Pakistan's most-downloaded ride app.
j10,Product Management Intern,Careem,Karachi · Hybrid,Karachi,"Communication, Problem Solving, Excel, User Research, Agile",₨ 60–90k,Internship,0-1 years,5 days ago,Rotate across Careem's product teams and get hands-on experience shipping features used by millions.
j11,Senior Data Scientist,Careem,Karachi · Hybrid,Karachi,"Python, Machine Learning, TensorFlow, Statistics, SQL, MLflow",₨ 380–560k,Full-time,5-8 years,1 week ago,Lead ML initiatives across Careem's ride-hailing and food verticals. Own model development from ideation to production.
j12,Junior Product Designer,Sastaticket,Lahore · On-site,Lahore,"Figma, User Research, Wireframing, Prototyping",₨ 140–180k,Full-time,0-2 years,4 days ago,Design travel booking experiences for millions of Pakistani users on web and mobile.
j13,Frontend Developer,Sastaticket,Lahore · On-site,Lahore,"React, JavaScript, HTML/CSS, Git, Redux",₨ 160–220k,Full-time,1-3 years,3 days ago,Build responsive UIs for Pakistan's leading travel platform. Work on flight and hotel booking flows.
j14,Backend Developer,Sastaticket,Lahore · On-site,Lahore,"Node.js, MySQL, Redis, REST APIs, Git",₨ 180–250k,Full-time,2-4 years,1 week ago,Develop APIs and backend systems powering Sastaticket's travel booking engine.
j15,QA Engineer,Sastaticket,Lahore · On-site,Lahore,"Manual Testing, Selenium, Jira, Agile, REST APIs",₨ 120–160k,Full-time,1-3 years,2 weeks ago,Ensure quality across web and mobile platforms. Write test cases and automate regression testing.
j16,SEO Specialist,Sastaticket,Lahore · Remote,Lahore,"SEO, Google Analytics, Content Marketing, Excel, Ahrefs",₨ 120–180k,Full-time,1-3 years,5 days ago,Drive organic growth for Sastaticket through technical and content SEO across travel keywords.
j17,Marketing Analyst,Foodpanda PK,Islamabad · Remote,Islamabad,"SQL, Excel, Google Analytics, Power BI, SEO",₨ 150–200k,Full-time,1-3 years,1 week ago,Analyze campaign performance and customer data to optimize marketing spend across digital channels.
j18,Growth Manager,Foodpanda PK,Islamabad · Hybrid,Islamabad,"SQL, Excel, Digital Marketing, Google Analytics, Communication",₨ 220–300k,Full-time,3-5 years,2 weeks ago,Own user acquisition and retention strategy for Foodpanda Pakistan.
j19,Full Stack Developer,Foodpanda PK,Islamabad · Remote,Islamabad,"React, Node.js, PostgreSQL, Docker, Git",₨ 200–280k,Full-time,2-4 years,5 days ago,Build features across the Foodpanda web and vendor portal serving the Pakistan market.
j20,Data Engineer,Foodpanda PK,Islamabad · Remote,Islamabad,"Python, Apache Spark, AWS, SQL, dbt",₨ 240–340k,Full-time,3-5 years,1 week ago,Build and maintain data pipelines that power analytics and ML at Foodpanda PK.
j21,Content Creator,Foodpanda PK,Islamabad · Hybrid,Islamabad,"Content Marketing, Social Media, Copywriting, Canva, SEO",₨ 100–160k,Full-time,1-3 years,6 days ago,Create engaging content for Foodpanda PK's social media and CRM campaigns.
j22,Frontend Engineer Intern,Bazaar Technologies,Karachi · On-site,Karachi,"React, TypeScript, HTML/CSS, Git",₨ 60–90k,Internship,0-1 years,2 days ago,Join Bazaar's engineering team and build features used by thousands of kiryana store owners across Pakistan.
j23,Backend Engineer,Bazaar Technologies,Karachi · On-site,Karachi,"Python, Django, PostgreSQL, Redis, AWS",₨ 200–280k,Full-time,2-4 years,1 week ago,Build APIs and microservices for Bazaar's B2B e-commerce platform serving retailers across Pakistan.
j24,Mobile Developer,Bazaar Technologies,Karachi · On-site,Karachi,"React Native, JavaScript, REST APIs, Git, Firebase",₨ 180–250k,Full-time,2-4 years,3 days ago,Develop the Bazaar mobile app used daily by kiryana store owners to manage inventory and orders.
j25,Product Manager,Bazaar Technologies,Karachi · Hybrid,Karachi,"Product Management, Agile, SQL, User Research, Communication",₨ 280–400k,Full-time,3-6 years,2 weeks ago,Own the product roadmap for Bazaar's merchant platform.
j26,Data Analyst,Bazaar Technologies,Karachi · On-site,Karachi,"Python, SQL, Tableau, Excel, Statistics",₨ 160–220k,Full-time,1-3 years,4 days ago,Analyze merchant behavior and supply chain data to improve Bazaar's operations and product.
j27,Senior Software Engineer,Tintash,Lahore · Remote,Lahore,"React, Node.js, AWS, PostgreSQL, System Design",₨ 280–400k,Full-time,4-7 years,1 week ago,Lead engineering on client projects for US and European clients. Mentor junior developers.
j28,React Developer,Tintash,Lahore · Remote,Lahore,"React, TypeScript, Redux, REST APIs, Git",₨ 180–260k,Full-time,2-4 years,3 days ago,Build high-quality React applications for international clients across fintech and e-commerce.
j29,Node.js Developer,Tintash,Lahore · Remote,Lahore,"Node.js, Express.js, MongoDB, REST APIs, Docker",₨ 180–260k,Full-time,2-4 years,5 days ago,Develop backend services and REST APIs for international client projects from Lahore.
j30,UI/UX Designer,Tintash,Lahore · Remote,Lahore,"Figma, Adobe XD, User Research, Prototyping, Illustration",₨ 160–240k,Full-time,2-4 years,1 week ago,Design user interfaces for web and mobile applications across international client projects.
j31,QA Automation Engineer,Tintash,Lahore · Remote,Lahore,"Selenium, Cypress, Python, Jira, Agile, REST APIs",₨ 150–220k,Full-time,2-4 years,2 weeks ago,Build automated test suites for web and mobile applications for international projects.
j32,React Developer Intern,Tintash,Lahore · Remote,Lahore,"React, JavaScript, HTML/CSS, Git, Problem Solving",₨ 50–80k,Internship,0-1 years,2 days ago,Join Tintash's frontend team and work on real international client projects as an intern.
j33,Senior Java Developer,Systems Limited,Lahore · Hybrid,Lahore,"Java, Spring Boot, Microservices, Oracle, AWS",₨ 280–420k,Full-time,4-7 years,1 week ago,Develop enterprise Java applications for global clients in fintech and supply-chain management.
j34,SAP Consultant,Systems Limited,Lahore · On-site,Lahore,"SAP, ABAP, Business Analysis, Communication, Project Management",₨ 250–380k,Full-time,3-6 years,2 weeks ago,Implement and customise SAP ERP solutions for large enterprise clients in Pakistan.
j35,Business Analyst,Systems Limited,Lahore · Hybrid,Lahore,"Business Analysis, SQL, Agile, Jira, Communication, Excel",₨ 180–260k,Full-time,2-4 years,5 days ago,Gather requirements and bridge the gap between business and technology for enterprise clients.
j36,Python Developer,Systems Limited,Lahore · Hybrid,Lahore,"Python, Django, REST APIs, PostgreSQL, Docker",₨ 200–290k,Full-time,2-4 years,1 week ago,Build Python-based web applications and APIs for international client engagements.
j37,Software Engineering Intern,Systems Limited,Lahore · On-site,Lahore,"Java, SQL, HTML/CSS, Git, Problem Solving",₨ 40–70k,Internship,0-1 years,3 days ago,Join Systems Limited's intern cohort and get real-world enterprise software development experience.
j38,AWS Solutions Architect,Systems Limited,Lahore · Remote,Lahore,"AWS, Cloud Architecture, Terraform, Kubernetes, System Design, Security",₨ 380–560k,Full-time,6-10 years,2 weeks ago,Architect cloud solutions for Systems Limited's enterprise clients.
j39,Flutter Developer,NetSol Technologies,Lahore · On-site,Lahore,"Flutter, Dart, REST APIs, Git, Firebase",₨ 160–240k,Full-time,1-3 years,3 days ago,Build cross-platform mobile apps for NetSol's leasing and fleet management clients worldwide.
j40,Senior .NET Developer,NetSol Technologies,Lahore · On-site,Lahore,"C#, .NET, SQL Server, Microservices, Azure",₨ 260–380k,Full-time,4-7 years,1 week ago,Lead development of enterprise .NET solutions for global automotive leasing clients.
j41,Full Stack Developer,10Pearls,Karachi · Remote,Karachi,"React, Node.js, PostgreSQL, AWS, Docker, TypeScript",₨ 220–320k,Full-time,3-5 years,2 days ago,Build and ship full-stack features for 10Pearls' US-based clients across healthcare and fintech.
j42,React Native Developer,10Pearls,Karachi · Remote,Karachi,"React Native, JavaScript, REST APIs, Firebase, Git",₨ 200–280k,Full-time,2-4 years,5 days ago,Develop cross-platform mobile applications for 10Pearls' international product clients.
j43,Cloud Engineer,10Pearls,Karachi · Remote,Karachi,"AWS, GCP, Terraform, Docker, Kubernetes, CI/CD",₨ 260–380k,Full-time,3-6 years,1 week ago,Design and manage cloud infrastructure for 10Pearls' client projects.
j44,Scrum Master,10Pearls,Karachi · Remote,Karachi,"Agile, Scrum, Jira, Project Management, Communication, Leadership",₨ 200–320k,Full-time,2-5 years,1 week ago,Facilitate agile ceremonies and remove blockers for 10Pearls' engineering teams.
j45,Senior React Developer,Arbisoft,Lahore · Remote,Lahore,"React, TypeScript, Redux, GraphQL, Next.js, Git",₨ 280–420k,Full-time,4-7 years,1 week ago,Lead frontend development for Arbisoft's global clients and own technical architecture decisions.
j46,Django Developer,Arbisoft,Lahore · Remote,Lahore,"Python, Django, REST APIs, PostgreSQL, Celery, Redis",₨ 200–300k,Full-time,2-5 years,3 days ago,Build robust Python-Django backends for Arbisoft's EdTech and SaaS clients worldwide.
j47,Technical Project Manager,Arbisoft,Lahore · Remote,Lahore,"Project Management, Agile, Scrum, Jira, Communication, Leadership",₨ 320–480k,Full-time,5-8 years,2 weeks ago,Manage engineering teams and client relationships for Arbisoft's international software projects.
j48,Ruby on Rails Developer,Arbisoft,Lahore · Remote,Lahore,"Ruby on Rails, PostgreSQL, Redis, Sidekiq, REST APIs, Git",₨ 200–300k,Full-time,2-4 years,1 week ago,Build and maintain Ruby on Rails applications for Arbisoft's SaaS and EdTech client portfolio.
j49,Frontend Developer,Programmers Force,Lahore · Remote,Lahore,"React, Vue.js, JavaScript, HTML/CSS, Tailwind CSS",₨ 160–240k,Full-time,1-3 years,4 days ago,Build modern web UIs for Programmers Force's SaaS and enterprise clients across US and UK.
j50,PHP Laravel Developer,Programmers Force,Lahore · Remote,Lahore,"PHP, Laravel, MySQL, Vue.js, REST APIs, Git",₨ 150–220k,Full-time,1-3 years,6 days ago,Develop web applications using Laravel for international clients in e-commerce and logistics.
j51,DevOps Engineer,Programmers Force,Lahore · Remote,Lahore,"AWS, Docker, CI/CD, Linux, Nginx, GitHub Actions",₨ 200–300k,Full-time,2-5 years,1 week ago,Build and maintain CI/CD pipelines and cloud infrastructure for Programmers Force's clients.
j52,Python Developer Intern,Programmers Force,Lahore · Remote,Lahore,"Python, Git, REST APIs, Problem Solving, Linux",₨ 40–70k,Internship,0-1 years,4 days ago,Get hands-on Python development experience working on real client projects in a remote-first environment.
j53,Software Engineer,Daraz,Karachi · Hybrid,Karachi,"Java, Spring Boot, Microservices, MySQL, Kafka",₨ 220–320k,Full-time,2-4 years,1 week ago,Build and scale backend microservices powering Daraz — Pakistan's largest online marketplace.
j54,Data Scientist,Daraz,Karachi · Hybrid,Karachi,"Python, Machine Learning, TensorFlow, SQL, Statistics, Pandas",₨ 280–420k,Full-time,3-5 years,2 weeks ago,Build recommendation engines and demand forecasting models for Daraz's 10M+ product catalog.
j55,Frontend Engineer,Daraz,Karachi · Hybrid,Karachi,"React, Next.js, TypeScript, HTML/CSS, Performance Optimization",₨ 200–280k,Full-time,2-4 years,5 days ago,Build fast and beautiful shopping experiences on Daraz web.
j56,Operations Analyst,Daraz,Karachi · On-site,Karachi,"Excel, SQL, Power BI, Communication, Problem Solving, Logistics",₨ 140–200k,Full-time,1-3 years,3 days ago,Analyze logistics and seller data to improve Daraz's supply chain and fulfillment operations.
j57,iOS Developer,Daraz,Karachi · Hybrid,Karachi,"Swift, Xcode, UIKit, SwiftUI, REST APIs, Git",₨ 220–320k,Full-time,2-4 years,1 week ago,Build features for the Daraz iOS app — Pakistan's most-used shopping app on iOS.
j58,Data Science Intern,Daraz,Karachi · Hybrid,Karachi,"Python, Pandas, SQL, Statistics, Machine Learning, Excel",₨ 50–80k,Internship,0-1 years,1 week ago,Work alongside Daraz's data science team on recommendation and demand forecasting projects.
j59,Digital Marketing Manager,Daraz,Karachi · Hybrid,Karachi,"Digital Marketing, Google Ads, Meta Ads, SEO, Excel, SQL",₨ 260–380k,Full-time,3-6 years,1 week ago,Own Daraz's performance marketing across Google Meta and TikTok.
j60,Platform Engineer,Daraz,Karachi · Hybrid,Karachi,"Kubernetes, AWS, Terraform, Linux, CI/CD, Monitoring",₨ 280–420k,Full-time,4-7 years,2 weeks ago,Build and own the platform infrastructure that powers Daraz's e-commerce operations at scale.
j61,React Developer,PostEx,Lahore · On-site,Lahore,"React, JavaScript, REST APIs, Git, Material UI",₨ 160–240k,Full-time,1-3 years,2 days ago,Build the PostEx merchant portal and internal dashboards used by e-commerce sellers across Pakistan.
j62,Fintech Backend Developer,PostEx,Lahore · On-site,Lahore,"Node.js, PostgreSQL, Redis, REST APIs, Fintech, Docker",₨ 200–290k,Full-time,2-4 years,1 week ago,Build secure payment and cashflow APIs for PostEx's embedded fintech platform.
j63,Customer Success Manager,PostEx,Lahore · On-site,Lahore,"Communication, CRM, Excel, Problem Solving, E-commerce, Leadership",₨ 150–240k,Full-time,2-4 years,1 week ago,Manage relationships with PostEx's e-commerce seller clients and drive retention.
j64,Mobile Developer,Bykea,Karachi · On-site,Karachi,"React Native, JavaScript, Google Maps API, Firebase, REST APIs",₨ 160–230k,Full-time,1-3 years,4 days ago,Build the Bykea rider and user apps — the go-to bike-hailing platform in Karachi.
j65,Backend Engineer,Bykea,Karachi · On-site,Karachi,"Python, Flask, PostgreSQL, Redis, AWS, Docker",₨ 180–260k,Full-time,2-4 years,1 week ago,Scale backend services for Bykea's ride-hailing delivery and payments platform.
j66,Operations Analytics Manager,Bykea,Karachi · Hybrid,Karachi,"SQL, Excel, Google Analytics, Tableau, Communication",₨ 200–300k,Full-time,3-5 years,2 weeks ago,Own operational data and analytics for Bykea's city-level growth in Karachi and Lahore.
j67,Backend Engineer Intern,Bykea,Karachi · On-site,Karachi,"Python, REST APIs, Git, Linux, Problem Solving",₨ 40–70k,Internship,0-1 years,3 days ago,Kickstart your backend engineering career at Bykea. Work on real features used by thousands of riders daily.
j68,Product Designer,Nayapay,Karachi · Hybrid,Karachi,"Figma, User Research, Mobile Design, Prototyping, Design Systems",₨ 200–300k,Full-time,2-4 years,3 days ago,Design NayaPay's digital wallet and payment experiences for millions of Pakistanis.
j69,Android Developer,Nayapay,Karachi · Hybrid,Karachi,"Kotlin, Android SDK, Jetpack Compose, REST APIs, Git",₨ 200–300k,Full-time,2-4 years,5 days ago,Build NayaPay's Android app — a leading digital wallet platform in Pakistan.
j70,iOS Developer,Nayapay,Karachi · Hybrid,Karachi,"Swift, SwiftUI, Combine, REST APIs, Security, Git",₨ 200–300k,Full-time,2-4 years,5 days ago,Own iOS features on NayaPay's digital banking app including biometric auth and P2P transfers.
j71,Backend Engineer,Nayapay,Karachi · Hybrid,Karachi,"Java, Spring Boot, PostgreSQL, Kafka, Security, Microservices",₨ 240–360k,Full-time,3-5 years,1 week ago,Build secure and scalable fintech backend systems for NayaPay's digital banking platform.
j72,Product Analyst,Nayapay,Karachi · Hybrid,Karachi,"SQL, Python, Product Management, Excel, User Research",₨ 180–270k,Full-time,1-3 years,3 days ago,Analyze NayaPay user behavior and transaction data to guide product decisions.
j73,Flutter Developer,Sadapay,Islamabad · Remote,Islamabad,"Flutter, Dart, REST APIs, Firebase, Git, State Management",₨ 180–270k,Full-time,1-3 years,2 days ago,Build cross-platform mobile features for SadaPay — Pakistan's fastest-growing neobank.
j74,Backend Developer,Sadapay,Islamabad · Remote,Islamabad,"Node.js, TypeScript, PostgreSQL, AWS, Security, REST APIs",₨ 220–320k,Full-time,2-4 years,1 week ago,Develop secure and compliant fintech APIs for SadaPay's digital banking platform.
j75,QA Engineer,Sadapay,Islamabad · Remote,Islamabad,"Manual Testing, Selenium, API Testing, Jira, Agile, Postman",₨ 140–200k,Full-time,1-3 years,2 weeks ago,Ensure quality for SadaPay's mobile banking app and automate regression suites.
j76,Security Engineer,PureVPN,Lahore · Remote,Lahore,"Cybersecurity, Network Security, Linux, Penetration Testing, Python",₨ 250–380k,Full-time,3-5 years,3 days ago,Protect PureVPN's infrastructure and help millions of users stay secure online.
j77,Backend Developer,PureVPN,Lahore · Remote,Lahore,"Go, Python, Linux, Networking, REST APIs, Docker",₨ 220–320k,Full-time,2-4 years,1 week ago,Build and scale backend systems powering one of the world's largest VPN platforms from Lahore.
j78,Network Engineer,PureVPN,Lahore · On-site,Lahore,"Networking, Linux, Cisco, Routing & Switching, VPN, Cybersecurity",₨ 200–300k,Full-time,2-5 years,2 weeks ago,Manage and expand PureVPN's global server network. Work on routing optimisation and DDoS mitigation.
j79,Full Stack Developer,Devsinc,Lahore · Remote,Lahore,"React, Node.js, MongoDB, AWS, Docker, TypeScript",₨ 200–300k,Full-time,2-5 years,5 days ago,Build and ship full-stack features for Devsinc's US and European client projects.
j80,React Native Developer,Devsinc,Lahore · Remote,Lahore,"React Native, JavaScript, Firebase, REST APIs, Git",₨ 180–260k,Full-time,1-3 years,1 week ago,Develop cross-platform mobile apps for Devsinc's international clients across healthcare and fintech.
j81,Product Designer,Venturedive,Karachi · On-site,Karachi,"Figma, Design Systems, User Research, Prototyping, Motion Design",₨ 180–280k,Full-time,2-4 years,3 days ago,Design digital products for Venturedive's global clients. Own the full design process from research to delivery.
j82,iOS Developer,Venturedive,Karachi · On-site,Karachi,"Swift, SwiftUI, Xcode, REST APIs, Git, Agile",₨ 200–300k,Full-time,2-4 years,1 week ago,Build iOS applications for Venturedive's international clients and flagship products.
j83,UI/UX Design Intern,Venturedive,Karachi · On-site,Karachi,"Figma, User Research, Wireframing, Communication, Creativity",₨ 40–60k,Internship,0-1 years,2 days ago,Join Venturedive's design team and contribute to real client projects from day one.
j84,Machine Learning Engineer,i2c Inc,Lahore · Hybrid,Lahore,"Python, TensorFlow, Scikit-learn, SQL, AWS, Pandas",₨ 300–450k,Full-time,3-6 years,1 week ago,Build fraud detection and risk-scoring ML models for i2c's global payment processing platform.
j85,Java Developer,i2c Inc,Lahore · On-site,Lahore,"Java, Spring Boot, Oracle, Microservices, REST APIs, Kafka",₨ 240–360k,Full-time,2-5 years,2 weeks ago,Develop payment and card-processing systems used by banks worldwide — built from Lahore.
j86,Data Analyst,i2c Inc,Lahore · Hybrid,Lahore,"SQL, Python, Tableau, Excel, Statistics, Power BI",₨ 180–260k,Full-time,2-4 years,5 days ago,Analyze transaction data and build reports for i2c's global payment clients.
j87,Cybersecurity Analyst,i2c Inc,Lahore · On-site,Lahore,"Cybersecurity, SIEM, Penetration Testing, Python, Network Security",₨ 220–340k,Full-time,2-4 years,1 week ago,Protect i2c's global payment infrastructure. Conduct security assessments and incident response.
j88,Software Engineer,HBL,Karachi · On-site,Karachi,"Java, Spring Boot, Oracle, Microservices, Agile, REST APIs",₨ 200–300k,Full-time,2-4 years,3 days ago,Build digital banking features for HBL's mobile and internet banking platforms.
j89,Digital Product Manager,HBL,Karachi · Hybrid,Karachi,"Product Management, Agile, User Research, SQL, Communication, Banking",₨ 320–500k,Full-time,4-7 years,1 week ago,Own the roadmap for HBL's digital banking products. Drive mobile banking adoption across Pakistan.
j90,Data Engineer,HBL,Karachi · Hybrid,Karachi,"Python, Apache Spark, SQL, AWS, dbt, Airflow",₨ 260–380k,Full-time,3-5 years,2 weeks ago,Build data pipelines and warehouses supporting HBL's analytics and regulatory reporting.
j91,Android Developer,HBL,Karachi · On-site,Karachi,"Kotlin, Android SDK, Jetpack, REST APIs, Security, Git",₨ 200–300k,Full-time,2-4 years,5 days ago,Build and maintain HBL's Android banking app — one of Pakistan's most-used financial apps.
j92,Senior ML Engineer,HBL,Karachi · Hybrid,Karachi,"Python, Machine Learning, TensorFlow, SQL, AWS, Statistics",₨ 350–520k,Full-time,4-7 years,2 weeks ago,Lead machine learning projects for HBL's fraud detection and credit scoring systems.
j93,Risk Analyst,Meezan Bank,Karachi · On-site,Karachi,"Excel, SQL, Power BI, Statistics, Risk Management, Communication",₨ 160–240k,Full-time,1-3 years,1 week ago,Analyze credit and market risk data to support Meezan Bank's risk management framework.
j94,IT Security Analyst,Meezan Bank,Karachi · On-site,Karachi,"Cybersecurity, Network Security, SIEM, ISO 27001, Risk Assessment",₨ 200–300k,Full-time,2-4 years,2 weeks ago,Monitor and strengthen information security controls at Pakistan's largest Islamic bank.
j95,Frontend Developer,Meezan Bank,Karachi · On-site,Karachi,"React, JavaScript, HTML/CSS, REST APIs, Git, Agile",₨ 180–250k,Full-time,1-3 years,3 days ago,Build user-facing interfaces for Meezan Bank's digital banking portal and internal tools.
j96,Data Analyst Intern,Jazz,Islamabad · On-site,Islamabad,"Excel, SQL, Power BI, Google Analytics, Communication",₨ 50–80k,Internship,0-1 years,2 days ago,Support Jazz's commercial analytics team with data reporting and dashboard development.
j97,Senior Software Engineer,Jazz,Islamabad · Hybrid,Islamabad,"Java, Microservices, Kubernetes, AWS, Kafka, PostgreSQL",₨ 280–420k,Full-time,4-7 years,1 week ago,Build scalable backend systems for Jazz's digital services platform serving 70M+ subscribers.
j98,Product Manager,Jazz,Islamabad · Hybrid,Islamabad,"Product Management, Agile, SQL, User Research, Telecom, Communication",₨ 300–450k,Full-time,4-7 years,2 weeks ago,Drive product strategy for Jazz's digital financial services and entertainment platforms.
j99,Android Developer,Telenor Pakistan,Islamabad · Hybrid,Islamabad,"Kotlin, Android SDK, REST APIs, Agile, Firebase, Git",₨ 180–270k,Full-time,1-3 years,4 days ago,Develop the Telenor Pakistan Android app and My Telenor digital services platform.
j100,Cloud Architect,Telenor Pakistan,Islamabad · Hybrid,Islamabad,"AWS, Azure, Kubernetes, Terraform, System Design, Security",₨ 380–560k,Full-time,6-10 years,1 week ago,Design and govern Telenor Pakistan's cloud infrastructure strategy across all digital products.
j101,NLP Engineer,Cowlar Design Studio,Lahore · Remote,Lahore,"Python, NLP, Hugging Face, TensorFlow, spaCy, REST APIs",₨ 240–360k,Full-time,2-5 years,5 days ago,Build natural language processing models for AI-powered products at one of Pakistan's top tech studios.
j102,Senior Product Designer,Cowlar Design Studio,Lahore · Remote,Lahore,"Figma, Design Systems, User Research, Motion Design, Storytelling",₨ 260–400k,Full-time,4-7 years,1 week ago,Lead product design for Cowlar's AI and IoT products. Mentor junior designers.
j103,Full Stack Engineer,Cowlar Design Studio,Lahore · Remote,Lahore,"React, Node.js, MongoDB, AWS, TypeScript, Docker",₨ 240–360k,Full-time,3-5 years,2 weeks ago,Build AI-powered web products at Cowlar — working across frontend backend and cloud infrastructure.
j104,Computer Vision Engineer,Cowlar Design Studio,Lahore · Remote,Lahore,"Python, OpenCV, TensorFlow, PyTorch, YOLO, AWS",₨ 260–400k,Full-time,2-5 years,2 days ago,Build computer vision systems for Cowlar's smart farm and IoT products.
j105,AI Prompt Engineer,Cowlar Design Studio,Lahore · Remote,Lahore,"LLMs, Prompt Engineering, Python, Communication, NLP, Hugging Face",₨ 200–320k,Full-time,1-3 years,3 days ago,Design and optimise prompts for AI-powered products. Work with GPT-4 Claude and open-source LLMs.
j106,Embedded Systems Engineer,Cowlar Design Studio,Lahore · On-site,Lahore,"Embedded Systems, C/C++, RTOS, IoT, Arduino, Hardware, Linux",₨ 200–320k,Full-time,2-5 years,4 days ago,Build firmware for Cowlar's smart agriculture IoT devices deployed across Pakistan.
j107,Blockchain Developer,TAG Innovation,Karachi · Hybrid,Karachi,"Solidity, Ethereum, Web3.js, Smart Contracts, JavaScript, Node.js",₨ 240–380k,Full-time,2-5 years,3 days ago,Build blockchain-based financial products at TAG Innovation — one of Pakistan's pioneering fintech startups.
j108,Backend Engineer,TAG Innovation,Karachi · Hybrid,Karachi,"Node.js, PostgreSQL, Redis, REST APIs, AWS, Security",₨ 200–300k,Full-time,2-4 years,1 week ago,Build secure fintech APIs and payment systems at TAG Innovation.
j109,Backend Engineer,Finja,Lahore · Hybrid,Lahore,"Python, Django, PostgreSQL, Docker, Fintech, REST APIs",₨ 200–300k,Full-time,2-4 years,1 week ago,Build lending and payment APIs for Finja's fintech platform serving SMEs and individuals across Pakistan.
j110,Frontend Developer,Finja,Lahore · Hybrid,Lahore,"React, JavaScript, HTML/CSS, Redux, REST APIs, Git",₨ 160–240k,Full-time,1-3 years,5 days ago,Build Finja's merchant and user-facing web interfaces for Pakistan's SME financing platform.
j111,Data Analyst,Jugnu,Lahore · On-site,Lahore,"SQL, Excel, Power BI, Python, Logistics, Statistics",₨ 140–200k,Full-time,1-3 years,4 days ago,Analyze supply chain and demand data to optimize Jugnu's grocery delivery operations.
j112,Mobile Developer,Jugnu,Lahore · On-site,Lahore,"React Native, JavaScript, REST APIs, Firebase, Git",₨ 150–220k,Full-time,1-3 years,1 week ago,Build Jugnu's customer and delivery-agent mobile apps for Pakistan's grocery delivery market.
j113,Graphic Designer,Bykea,Karachi · On-site,Karachi,"Photoshop, Illustrator, Figma, Canva, Social Media, Creativity",₨ 100–160k,Full-time,1-3 years,3 days ago,Create visual content for Bykea's marketing campaigns across social media and digital channels.
j114,Technical Writer,Arbisoft,Lahore · Remote,Lahore,"Technical Writing, Communication, Markdown, API Documentation, Git",₨ 120–180k,Full-time,1-3 years,2 weeks ago,Create developer documentation and API guides for Arbisoft's open-source and client projects.
j115,Data Analyst Intern,Bazaar Technologies,Karachi · On-site,Karachi,"SQL, Python, Excel, Statistics, Communication",₨ 40–70k,Internship,0-1 years,3 days ago,Work with Bazaar's data team on merchant analytics and supply chain insights. Real impact from day one.
